"","ibgeID","lat","lon"
"156",2613701,-7.9959607,-35.039335
"157",2613800,-7.589691,-35.480844
"158",2613909,-7.9867805,-38.2920294
"159",2614006,-7.9476953,-39.2957383
"160",2614105,-8.068467,-37.268393
"161",2614204,-8.5922963,-35.1151914
"162",2614303,-7.6298629,-39.5535521
"163",2614402,-7.6008705,-37.6514396
"164",2614501,-7.8424353,-35.7539722
"165",2614600,-7.583661,-37.537735
"166",2614709,-8.308673,-36.300035
"167",2614808,-9.1051762,-38.1499125
"168",2614857,-8.7500009,-35.1045787
"169",2615003,-7.9027766,-36.0442227
"170",2615102,-9.0560369,-36.623375
"171",2615201,-8.2288173,-39.3771252
"172",2615300,-7.5118822,-35.316076
"173",2615409,-8.0083743,-36.058776
"174",2615508,-7.8027253,-35.238498
"175",2615607,-7.759,-40.26472
"176",2615706,-7.8362959,-38.1042617
"177",2615805,-8.7542378,-37.3398733
"178",2615904,-7.6010116,-37.3114417
"179",2616001,-8.5765199,-36.876569
"180",2616100,-7.9288534,-38.96884
"181",2616183,-7.7733359,-35.8498482
"182",2616209,-7.906103,-35.9894975
"183",2616308,-7.6574422,-35.3218464
"184",2616407,-8.1209019,-35.2944858
"185",2616506,-8.8036743,-35.6244442
"186",3200102,-20.077841,-41.12606
"187",3200136,-18.9847265,-40.7391844
"188",3200169,-18.54822,-40.979012
"189",3200201,-20.7625787,-41.5318886
"190",3200300,-20.6249704,-40.7500669014799
"191",3200359,-19.0577208,-41.0171518
"192",3200409,-20.8057672,-40.6454564
"193",3200508,-21.152272,-41.569297
"194",3200607,-19.8245218,-40.2735025
"195",3200706,-20.9139369,-41.1947519
"196",3200805,-19.5138322,-41.0182089
"197",3200904,-18.7570902,-40.8916119
"198",3201001,-18.5395472,-40.2904088
"199",3201100,-21.1254776,-41.6711646
"200",3201159,-20.1465817,-41.2902303
"201",3201209,-20.848084,-41.11129
"202",3201308,-20.263202,-40.416549
"203",3201407,-20.6034476,-41.2033505
"204",3201506,-19.5346732,-40.6287836
"205",3201605,-18.5841421,-39.7371844
"206",3201704,-20.3601311,-41.2470343
"207",3201803,-20.6201409,-41.6834749
"208",3201902,-20.3646483,-40.6585797
"209",3202009,-20.6893254,-41.84819
"210",3202108,-18.3720918,-40.8321351
